"Accession.name","BioSample","SRA","ID","Source","Continent","CIAT.code","DOI","Synonyms","Common.names","Organism","Genus","Species","Collection.status","Biological.status","CORE.collection","Country","Department","County","Place","Date.of.collection..dd.mm.yyyy.","Altitude..masl.","Latitude..decimal.","Longitude..decimal.","Donor.name","Institution","Donor.country","Collector.name","Date.of.receipt..dd.mm.yyyy.","Growth.habit","Plant.height..cm.","Flowering","Shape.of.leaf.lobe.central","Petiole.color","Developed.leaf.color","Number.of.leaf.lobes","Root.color","Dry.matter.content....","Total.HCN.content..ppm.","Total.sugars....","Total.amylose....","Clarity....","Temperature.pasting...C.","Maximum.viscosity","Breakdown..cP.","Easy.cooking..minutes."
"COL2054","SAMN47007542","SRR32633196","COL2054","This study","South America","COL 2054","10.18730/PCXSM","CAS-31, COL 2054","La Paloma","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Casanare","Aguazul","Casalote","21-04-1979",NA,5.15,-72.5,"","","","Octavio Vargas, Pedro Millan, Rafael Laberry","21-04-1979","",215,"Present","Elliptic-Lanceolate","","","","White",34.56,125,1.08,20.79,54.6,63.1,992,376,2.12
"COL2059","SAMN47007544","SRR32633194","COL2059","This study","South America","COL 2059","10.18730/P83G4","COL 2059","Sata Dovio","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cauca","Popayan","","",173,2.45,-76.6,"","","","Jose Carlos Lozano, Rafael Laberry","","",NA,"","","","","","",36.59,385,2.66,22.23,32.9,66.2,620,224,2.54
"COL2153","SAMN47007549","SRR32633193","COL2153","This study","South America","COL 2153","10.18730/P7PBV","104, COL 2153","Ene","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Amazonas","Tarapaca","El Ventura Kms: 6","21-11-1979",NA,-2.8667,-69.8167,"","","","Alvaro Amaya","21-11-1979","",215,"Present","Elliptic-Lanceolate","","","","White",32.43,818,5.4,18.5,28.25,66.05,663,210,2.67
"COL2196","SAMN47007555","SRR32633192","COL2196","This study","South America","COL 2196","10.18730/PAYM$","147, COL 2196","Caiman","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Amazonas","Arica","Kms: 2","22-11-1979",NA,-2.1333,-71.7667,"","","","Alvaro Amaya","22-11-1979","",250,"Absent","Elliptic-Lanceolate","","","","White",30.68,191,4.6,22.45,43,67.6,366,140,1.73
"COL2206","SAMN47007557","SRR32633190","COL2206","This study","South America","COL 2206","10.18730/PAHPV","COL 2206","Pan De Azucar","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cesar","Valledupar","","02-01-1980",160,10.4833,-73.25,"","","","Pedro Millan","02-01-1980","",175,"Present","Lanceolate","","","","Cream",28.2,78,4.5,19.16,52.3,62.7,714,300,2.87
"COL224","SAMN47007563","SRR32633422","COL224","This study","South America","COL 224","10.18730/P9AS3","CAU-317, COL 224","Seis Meses","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Cauca","Caloto","La Quebrada","03-07-1969",1090,3.0333,-76.35,"","","","Pablo Emilio Daza","03-07-1969","Bush",230,"Present","Lanceolate","","","","White",42.64,144,2.51,19.87,56.3,67.25,768,260,2.44
"COL2312","SAMN47007571","SRR32633421","COL2312","This study","South America","COL 2312","10.18730/P82F8","047","Tarpon Puinave","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Guainia","Puerto Inirida","Yuri Ca#O Bocon","25-02-1986",220,3.8,-67.8333,"Ciatcas-0053","UNIVERSIDAD NACIONAL DE COLOMBIA","Colombia","Mario Mejia Gutierrez","25-02-1986","",200,"Present","Lanceolate","Purple","Dark Green","Three Lobes","White",32.31,2112,5.09,20.21,51.6,66.85,775,287,2.74
"COL2357","SAMN47007573","SRR32633420","COL2357","This study","South America","COL 2357","10.18730/P8VQ2","092","Wabiki Curripaco","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Guainia","Puerto Inirida","Bellavista","04-03-1986",180,3.8,-67.8333,"Ciatcas-0053","UNIVERSIDAD NACIONAL DE COLOMBIA","Colombia","Mario Mejia Gutierrez","04-03-1986","",255,"Absent","Straight or Linear","Red","Dark Green","Seven Lobes","White",34.99,2070,2.27,19.26,45.6,62.65,1007,363,2.67
"COL2532","SAMN47007587","SRR32633419","COL2532","This study","South America","COL 2532","10.18730/PDQM~","170","Murrusito","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Meta","Puerto Gaitan","Planas Kms: 200","10-01-1987",200,4.3167,-72.0833,"Ciatcas-0053","UNIVERSIDAD NACIONAL DE COLOMBIA","Colombia","Mario Mejia Gutierrez","10-01-1987","Bush",240,"Absent","Obovate-Lanceolate","","","","White",30.26,43,1.4,19.18,38.7,63,968,404,3.39
"COL2542","SAMN47007589","SRR32633418","COL2542","This study","South America","COL 2542","10.18730/P9NHE","180","","Manihot esculenta","Manihot","esculenta","","Landrace",0,"Colombia","Putumayo","Sibundoy","Las Palmas Kms: 3","12-03-1987",NA,1.2167,-76.9167,"Ciatcas-0053","UNIVERSIDAD NACIONAL DE COLOMBIA","Colombia","Mario Mejia Gutierrez","26-03-1987","",245,"Present","Lanceolate","","","","White",16.17,248,10.3,24.42,52.1,64.3,548,226,2.44
